PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude
P-187926,"Viasus, Josefina",,287 Beech Street #2,,Roslindale,02131,(857) 347-1480,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-03-05,10,,,,,,,,,,,true,,High,2026-03-03,"287 Beech Street #2, Roslindale, MA 02131",42.279217174883,-71.138517882795
P-187967,"Haye, Pamela",,37 Duke Street  #2,,Mattapan,02126,(857) 206-1111,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-02-20,10,,,,,,,,,,,true,,Low,2026-03-03,"37 Duke Street  #2, Mattapan, MA 02126",42.281266410979,-71.094249466512
P-209951,Epiphany School Early Learning Center,Epiphany School Early Learning Center,230 Centre Street,,Dorchester,02124,(617) 545-8200,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-09-04,72,14,9,9,,40,,,,,,true,,Low,2026-03-03,"230 Centre Street, Dorchester, MA 02124",42.293365746253,-71.06335798776
P-209964,"Carmona, Anselma",,107 Gleenwood Ave,,Hyde Park,02136,(617) 206-0095,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-01-10,10,,,,,,,,,,,true,,Low,2026-03-03,"107 Gleenwood Ave, Hyde Park, MA 02136",42.246564317264,-71.123864346419
P-209975,Ethos,"Nido South Boston, LLC",416 West Broadway,,South Boston,02127,(617) 315-7166,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-04-12,68,21,,27,,20,,,,,,true,,Very High,2026-03-03,"416 West Broadway, South Boston, MA 02127",42.336815624489,-71.047649532251
P-210431,"Dasilva, Eunice",,39 Devon St,,Dorchester,02121,(781) 510-1980,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-04-06,10,,,,,,,,,,,true,,Very Low,2026-03-03,"39 Devon St, Dorchester, MA 02121",42.310613601304,-71.081210519837
P-210484,Thrive Childcare Center LLC,"Thrive Childcare Center, LLC",465 Columbus Avenue,,Boston,02116,(857) 277-1251,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-06-11,43,14,9,,9,11,,,,,,true,,Moderate,2026-03-03,"465 Columbus Avenue, Boston, MA 02116",42.343479926767,-71.078337256128
P-210653,"Rodriguez, Dana",,41 Mendelssohn Street,,Roslindale,02131,(857) 719-6445,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-03-09,10,,,,,,,,,,,true,,High,2026-03-03,"41 Mendelssohn Street, Roslindale, MA 02131",42.278233084908,-71.138399829978
P-210715,Small World Child Care Center Too,"Jamaica Plain VAMC Child Care Center, Inc.",1400 VFW Parkway,,West Roxbury,02132,(857) 203-5650,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-03-07,24,7,,9,,8,,,,,,true,,Moderate,2026-03-03,"1400 VFW Parkway, West Roxbury, MA 02132",42.272161002457,-71.17299907012
P-210782,"Adames Arias, Esmeralda C",,43 Oldfields Road  2nd Floor,,Dorchester,02121,(857) 247-9755,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-07-03,10,,,,,,,,,,,true,,Very Low,2026-03-03,"43 Oldfields Road  2nd Floor, Dorchester, MA 02121",42.306953693527,-71.078127494735
P-210800,"Sanchez, Sandra",,55 Neponset Avenue Apt 1,,Hyde Park,02136,857-395-5371,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-04-06,8,,,,,,,,,,,true,,Low,2026-03-03,"55 Neponset Avenue Apt 1, Hyde Park, MA 02136",42.248520680835,-71.118959194234
P-210831,Choices After School Program,Choices After School Program,112 Paris Street,,East Boston,02128,(617) 635-5125,Metro Boston,Region 6,Center-based Care,Licensed,Expired,,,2025-08-28,35,,,,,,,,,35,,true,,,2026-03-03,"112 Paris Street, East Boston, MA 02128",42.37285601485,-71.037221053361
P-210836,"Smith, Yelenny",,48 Valley Road,,Dorchester,02124,(617) 818-0309,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-04-27,10,,,,,,,,,,,true,,Low,2026-03-03,"48 Valley Road, Dorchester, MA 02124",42.277451694593,-71.068226555946
P-210854,"Patino, Edilma",,50 Prescott Street #1,,East Boston,02128,(857) 544-3631,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-06-06,6,,,,,,,,,,,true,,Very Low,2026-03-03,"50 Prescott Street #1, East Boston, MA 02128",42.379350628092,-71.029940387022
P-210906,"Lora Contreras, Amnelbi",,296 Belgrade Ave,,Boston,02131,(617) 888-3274,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-08-15,10,,,,,,,,,,,true,,High,2026-03-03,"296 Belgrade Ave, Boston, MA 02131",42.286023281833,-71.14344963614
P-210933,Tiny Hands Enrichment Center,Tiny Hands Enrichment Center,14 Cushing Avenue,,Dorchester,02125,(617) 436-2390,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-11-09,45,7,9,9,,20,,,,,,true,,Low,2026-03-03,"14 Cushing Avenue, Dorchester, MA 02125",42.31622620764,-71.064564213378
P-211251,"Dominici Perez De Matos, Iraida",,9 Harvard Park #1,,Dorchester,02124,(857) 251-0018,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-11-21,10,,,,,,,,,,,true,,Very Low,2026-03-03,"9 Harvard Park #1, Dorchester, MA 02124",42.298972773294,-71.074646607544
P-211256,Allo Montessori Preschool,Urban Montessori Academy,197 8th Street Suite 600,,Charlestown,02129,(617) 671-9048,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-10-12,58,,,18,,40,,,,,,true,,Moderate,2026-03-03,"197 8th Street Suite 600, Charlestown, MA 02129",42.373737859018,-71.051668824119
P-211277,"Stallings, Rachel",,170 Sherrin Street,,Hyde Park,02136,(617) 913-0967,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-08-08,10,,,,,,,,,,,false,,Low,2026-03-03,"170 Sherrin Street, Hyde Park, MA 02136",42.26578889452,-71.125721280552
P-215737,"Banks-Nurse, Victoria",,27 TONAWANDA ST # 2,,Dorchester,02124,(857) 753-8988,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2022-08-16,6,,,,,,,,,,,true,,Very Low,2026-03-03,"27 TONAWANDA ST # 2, Dorchester, MA 02124",42.299062799075,-71.066181725575
P-221632,"Ortiz, Oneida Del Carmen",,34 Cleveland St. Apt. 2,,Hyde Park,02136,(617) 407-7161,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2022-05-10,10,,,,,,,,,,,true,,High,2026-03-03,"34 Cleveland St. Apt. 2, Hyde Park, MA 02136",42.255064381186,-71.130573502329
P-222202,"Quinones Paulino, Carmen",,31 BOW ST #130,,Hyde Park,02136-3303,(857) 437-9321,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2023-06-08,6,,,,,,,,,,,true,,Low,2026-03-03,"31 BOW ST #130, Hyde Park, MA 02136-3303",42.243841687014,-71.118212721945
P-223165,"Griffith, Quanna",,15 SOUTHMERE RD # 1,,Mattapan,02126-2717,(617) 296-5520,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2020-06-12,10,,,,,,,,,,,true,,Low,2026-03-03,"15 SOUTHMERE RD # 1, Mattapan, MA 02126-2717",42.270712239705,-71.085096149674
P-223891,"Sanchez, Olga",,42 Academy Ct,,Roxbury,02119,(857) 258-9495,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2024-11-07,6,,,,,,,,,,,true,,Very Low,2026-03-03,"42 Academy Ct, Roxbury, MA 02119",42.320794220622,-71.09778786263
P-226377,"Holloman, Deborah",,33 Fessenden Street #1,,Mattapan,02126,(857) 284-3963,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Inactive,2022-07-01,6,,,,,,,,,,,true,,Very Low,2026-03-03,"33 Fessenden Street #1, Mattapan, MA 02126",42.278772057365,-71.092382167444
P-230240,"Pinto, Luz",,65 Safford Street,,Hyde Park,02136,(617) 908-0420,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2020-11-27,10,,,,,,,,,,,true,,Very Low,2026-03-03,"65 Safford Street, Hyde Park, MA 02136",42.266286292282,-71.115110982469
P-239651,"Putman, Teriera",,430 COLUMBUS AVE APT 102,,South End,02116-5990,(617) 671-8293,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2022-07-26,6,,,,,,,,,,,true,,Moderate,2026-03-03,"430 COLUMBUS AVE APT 102, South End, MA 02116-5990",42.344054157296,-71.077264638315
P-239893,"Resto, Rosa",,127 HOMES AVE #1,,Dorchester,02122,(857) 353-1191,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2023-07-06,6,,,,,,,,,,,true,,Very Low,2026-03-03,"127 HOMES AVE #1, Dorchester, MA 02122",42.303707071309,-71.065538908658
P-242244,"Ortiz, Jisa",,81 Walnut Park #5,,Roxbury,02119,(617) 230-7272,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2025-08-20,6,,,,,,,,,,,true,,Very Low,2026-03-03,"81 Walnut Park #5, Roxbury, MA 02119",42.314483923263,-71.09474716459
P-242393,"German, Vileisis",,153 Glenway Street,Apt 1,Dorchester,02121,(857) 312-3328,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-12-10,10,,,,,,,,,,,true,,Very Low,2026-03-03,"153 Glenway Street, Dorchester, MA 02121",42.298049512696,-71.081141482835
P-242394,"Romero, Wanda",,121 Florence St,,Boston,02131,(617) 212-1932,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2025-10-01,6,,,,,,,,,,,true,,Low,2026-03-03,"121 Florence St, Boston, MA 02131",42.286775506746,-71.123749135353
P-242402,"Romero, Emmy",,47 Codman Hill Avenue,,Dorchester,02124,(857) 763-9204,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-11-21,10,,,,,,,,,,,true,,Very Low,2026-03-03,"47 Codman Hill Avenue, Dorchester, MA 02124",42.279534334974,-71.072540206875
P-242561,YMCA of Greater Boston at the Henry Grew School,YMCA of Greater Boston,40 Gordon Avenue,,Hyde Park,02136,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-11-01,62,,,,,10,,,,52,,true,,Low,2026-03-03,"40 Gordon Avenue, Hyde Park, MA 02136",42.257135331352,-71.126897634372
P-242723,"Salgado, Aracelis",,54 Hiawatha Road,,Mattapan,02126,(857) 312-2840,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-03-26,10,,,,,,,,,,,true,,Very Low,2026-03-03,"54 Hiawatha Road, Mattapan, MA 02126",42.276878790246,-71.095465094454
P-242906,"Tomlinson, Veronica",,69 Neponset Ave,,Hyde Park,02136,(617) 955-4938,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-12-18,8,,,,,,,,,,,true,,Low,2026-03-03,"69 Neponset Ave, Hyde Park, MA 02136",42.247715050018,-71.118125324391
P-242974,"Little Voices Early Care and Education, Inc. @ Channing","Little Voices Early and Education, Inc",35 Sunnyside Street,,Hyde Park,02136,(617) 953-8029,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-11-13,52,,,,,,13,,,39,,true,,Low,2026-03-03,"35 Sunnyside Street, Hyde Park, MA 02136",42.251269938915,-71.133163638721
P-242994,IBA Early Education Program,Inquilinos Boricuas En Accion/E.T.C.,100 West Dedham St,,Boston,02118,(617) 927-1740,Northeast,Region 6,Center-based Care,Licensed,Current,,,2018-11-23,77,,18,9,,50,,,,,,true,,Low,2026-03-03,"100 West Dedham St, Boston, MA 02118",42.341828661602,-71.072812048794
P-243020,Our Future Learning Center,"FTCC Allston, LLC",1845 Commonwealth Avenue,,Brighton,02135,(617) 903-3522,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-02-04,61,14,,27,,20,,,,,,true,,Moderate,2026-03-03,"1845 Commonwealth Avenue, Brighton, MA 02135",42.339099323209,-71.152570789832
P-243061,Adventures In Montessori Early Childhood Center,Adventures In Montessori Early Childhood Center,65 Rockwood Street,,Jamaica Plain,02130,(857) 273-3453,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-05-01,51,14,,17,,20,,,,,,false,,High,2026-03-03,"65 Rockwood Street, Jamaica Plain, MA 02130",42.313058500557,-71.128025581699
P-243138,"Soto, Judith",,70 Oak Street,Apt 2,Hyde Park,02136,(857) 999-1612,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2018-10-04,10,,,,,,,,,,,true,,Very Low,2026-03-03,"70 Oak Street, Hyde Park, MA 02136",42.254284471685,-71.120910158982
P-243181,"Pereyra Tejeda, Marisela",,145 Glenway St #2,,Boston,02121,(857) 869-8159,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2022-02-07,6,,,,,,,,,,,false,,Very Low,2026-03-03,"145 Glenway St #2, Boston, MA 02121",42.298389626889,-71.081267651665
P-243299,"Pimentel, Patria",,1540 Columbus Ave. Apt 207,,Roxbury,02119,(857) 269-5847,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2024-09-13,6,,,,,,,,,,,true,,Very Low,2026-03-03,"1540 Columbus Ave. Apt 207, Roxbury, MA 02119",42.323302204711,-71.098348237143
P-243320,Savin Street Headstart & Children's Service,"Action For Boston Community Development, Inc./ABCD",82 Savin Street,,Roxbury,02119,(617) 652-7144,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-12-26,64,,24,,,40,,,,,,true,,Very Low,2026-03-03,"82 Savin Street, Roxbury, MA 02119",42.315593203504,-71.079061894425
P-243662,"Gomez, Isabel",,726 Hyde Park Avenue #2,,Roslindale,02131,(617) 637-6115,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-02-01,8,,,,,,,,,,,true,,Low,2026-03-03,"726 Hyde Park Avenue #2, Roslindale, MA 02131",42.275724027016,-71.119684073359
P-243763,"Sepulveda Guerreo, Graciela Maura",,1009 Morton Street,,Mattapan,02126,(857) 334-3825,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2019-09-13,8,,,,,,,,,,,true,,Very Low,2026-03-03,"1009 Morton Street, Mattapan, MA 02126",42.27817474484,-71.079292737298
P-243814,"Mejia Pimental, Melania",,100 Nightingale St. Apt. 2,,Dorchester,02124,(857) 417-1391,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-03-21,10,,,,,,,,,,,true,,Very Low,2026-03-03,"100 Nightingale St. Apt. 2, Dorchester, MA 02124",42.29489844986,-71.084450792912
P-243923,"Vaughn, Desheila",,"508 Park Street, Apt. 2",,Dorchester,02124,(857) 406-6409,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2021-02-02,10,,,,,,,,,,,true,,Very Low,2026-03-03,"508 Park Street, Apt. 2, Dorchester, MA 02124",42.295359793995,-71.072801111894
P-243995,"De La Cruz, Betty",,111 Harrishof Street  Apt 2,,Dorchester,02121,(857) 312-7271,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2019-11-07,6,,,,,,,,,,,true,,Low,2026-03-03,"111 Harrishof Street  Apt 2, Dorchester, MA 02121",42.317142284786,-71.089444724438
P-244061,"Echavarria Campero, Olga",,33 Faywood Ave.,,East Boston,02128,(781) 428-5068,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2022-10-31,10,,,,,,,,,,,true,,Low,2026-03-03,"33 Faywood Ave., East Boston, MA 02128",42.390691618623,-71.001272557659
P-244129,"Baez, Lilly",,45 A Temple St,,Mattapan,02126,(857) 800-6951,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2023-10-11,10,,,,,,,,,,,true,,Low,2026-03-03,"45 A Temple St, Mattapan, MA 02126",42.27361939898,-71.072550835521
P-244194,"Diaz Presinal, Arianny",,28 Elmhurst st apt # 1  Dorchester,,Boston,02124,(617) 401-5920,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2021-01-05,10,,,,,,,,,,,true,,Very Low,2026-03-03,"28 Elmhurst st apt # 1  Dorchester, Boston, MA 02124",42.2887365377,-71.076513069743
P-244271,The Treehouse School of Charles,The Treehouse School of Charles,142 Bunker Hill Street,,Charlestown,02129,(617) 633-9163,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-07-22,29,,,9,,20,,,,,,false,,High,2026-03-03,"142 Bunker Hill Street, Charlestown, MA 02129",42.378058229252,-71.060080160839
P-244365,"Vasquez, Carolina",,19 Morse Street,,Dorchester,02121,(978) 727-7627,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-03-26,10,,,,,,,,,,,true,,Very Low,2026-03-03,"19 Morse Street, Dorchester, MA 02121",42.304011518477,-71.078657125893
P-244539,"Reyes Concepcion, Virginia",,38 American Legion Highway,,Dorchester,02124,(857) 230-8535,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2019-07-11,6,,,,,,,,,,,true,,Very Low,2026-03-03,"38 American Legion Highway, Dorchester, MA 02124",42.297646278066,-71.088746007143
P-244570,Seaport Kindercare,"KinderCare Education, LLC",130 Autumn Lane,,Boston,02210,(617) 345-5453,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2019-06-13,93,28,,18,27,20,,,,,,true,,High,2026-03-03,"130 Autumn Lane, Boston, MA 02210",42.350824515931,-71.045543504705
P-244774,"Bodden, Alba",,66 Astoria St. #1,,Mattapan,02126,(617) 401-5969,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2022-07-27,6,,,,,,,,,,,true,,Very Low,2026-03-03,"66 Astoria St. #1, Mattapan, MA 02126",42.27940465563,-71.087603760214
P-244848,"Rodriguez, Jessenia",,94 Normandy Street  Apt 3,,Dorchester,02121,(857) 334-1618,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-05-30,10,,,,,,,,,,,true,,Very Low,2026-03-03,"94 Normandy Street  Apt 3, Dorchester, MA 02121",42.30943239154,-71.079985453885
P-244853,"Finklea, Natalie",,132 Rosseter Street  Apt 1,,Dorchester,02121,(617) 908-5739,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2021-08-03,8,,,,,,,,,,,true,,Very Low,2026-03-03,"132 Rosseter Street  Apt 1, Dorchester, MA 02121",42.30198079779,-71.072971888737
P-244881,"Ovando Nova, Gladys",,23 Maplewood Street,,West Roxbury,02132,(857) 417-0875,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2022-10-03,8,,,,,,,,,,,true,,High,2026-03-03,"23 Maplewood Street, West Roxbury, MA 02132",42.270627230573,-71.148002328512
P-244964,Funtime Academy,Funtime Academy,136 Seaver Street,,Dorchester,02121,(617) 407-2232,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-01-29,20,,,,,,,,,20,,true,,Very Low,2026-03-03,"136 Seaver Street, Dorchester, MA 02121",42.309275006301,-71.091097116332
P-244999,"Cooper, Clarisa",,60 BARTLETT # 1R,,Roxbury,02119,(617) 828-9124,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2024-10-28,8,,,,,,,,,,,true,,Low,2026-03-03,"60 BARTLETT # 1R, Roxbury, MA 02119",42.328933184158,-71.089633729689
P-245343,"Mejia, Epifania",,444 Hyde Park Ave #1,,Roslindale,02131,(857) 263-1097,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2020-02-25,6,,,,,,,,,,,true,,Moderate,2026-03-03,"444 Hyde Park Ave #1, Roslindale, MA 02131",42.285388921441,-71.118763060092
P-245583,"Allen, Amanda",,11 Holmfield Ave. #2,,Hyde Park,02136,(857) 342-5070,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2020-09-22,10,,,,,,,,,,,true,,Low,2026-03-03,"11 Holmfield Ave. #2, Hyde Park, MA 02136",42.263811665473,-71.100919111104
P-245728,"Fagan, Geralyn",,7 Mallon Road # 3,,Dorchester,02121,(617) 981-3108,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-11-20,10,,,,,,,,,,,true,,Very Low,2026-03-03,"7 Mallon Road # 3, Dorchester, MA 02121",42.302893191726,-71.074041388765
P-245864,"Moreta, Rosile",,14 Milton Terr,,Hyde Park,02136,(617) 763-8955,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-07-10,10,,,,,,,,,,,true,,Low,2026-03-03,"14 Milton Terr, Hyde Park, MA 02136",42.253711491178,-71.114437315372
P-246266,"Lara Lara, Glenda",,15 Pasadena Road,Apt 1,Dorchester,02121,(857) 294-4247,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2019-12-26,10,,,,,,,,,,,true,,Very Low,2026-03-03,"15 Pasadena Road, Dorchester, MA 02121",42.305120116648,-71.082316723419
P-246275,"Taylor, Lakeisha",,11 Nazing Street,,Dorchester,02121,(412) 639-5246,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2020-11-10,6,,,,,,,,,,,true,,Very Low,2026-03-03,"11 Nazing Street, Dorchester, MA 02121",42.306290241231,-71.084889860682
P-246280,"Garrett, Natasha",,108 Harrishof Street #3,,Dorchester,02121,(617) 982-8929,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2021-04-27,10,,,,,,,,,,,true,,Low,2026-03-03,"108 Harrishof Street #3, Dorchester, MA 02121",42.317040007002,-71.089517384054
P-246306,"Casso, Rosa Elisa",,5 Wyola Place #1,,Dorchester,02121,(857) 210-8348,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2023-06-06,6,,,,,,,,,,,true,,Very Low,2026-03-03,"5 Wyola Place #1, Dorchester, MA 02121",42.308109763107,-71.075046872134
P-246468,"Peralta,Dominique",,10 Lyford st,,Dorchester,02124,(617) 952-3003,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2019-09-24,8,,,,,,,,,,,true,,Very Low,2026-03-03,"10 Lyford st, Dorchester, MA 02124",42.287905502364,-71.083537062749
P-246740,Future Leader's,Future Leader's,1664 Dorchester Ave,,Dorchester,02122,617-288-1119,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-11-07,26,,7,9,,10,,,,,,true,,Low,2026-03-03,"1664 Dorchester Ave, Dorchester, MA 02122",42.293542093178,-71.062048405914
P-246888,"Zuniga, Lisa",,333 Quincy Street  Apt 3,,Dorchester,02125,(857) 615-0710,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-11-14,10,,,,,,,,,,,true,,Very Low,2026-03-03,"333 Quincy Street  Apt 3, Dorchester, MA 02125",42.310961459578,-71.069460997797
P-246892,"Guzman, Reny",,39 Moultrie St #1,,Boston,02124,(857) 340-3534,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2024-05-03,10,,,,,,,,,,,true,,Low,2026-03-03,"39 Moultrie St #1, Boston, MA 02124",42.291577397051,-71.06962289423
P-247045,"Vargas, Genelys",,22 Clive St #2,,Jamaica Plain,02130,(347) 972-5081,Metro Boston,Region 6,Family Child Care,Licensed,Expired,,Active,2020-01-28,10,,,,,,,,,,,true,,High,2026-03-03,"22 Clive St #2, Jamaica Plain, MA 02130",42.317486412174,-71.107906547641
P-247276,"Lewis, Cheryl",,25 Central Ave. 2 floor,,Hyde Park,02136,(857) 693-8419,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2019-10-18,8,,,,,,,,,,,true,,Very Low,2026-03-03,"25 Central Ave. 2 floor, Hyde Park, MA 02136",42.257477861506,-71.120915752008
P-247447,Boys & Girls Clubs of Dorchesterâs  Early Learning Center at Harbor Point,Boys and Girls Club of Dorchester Inc,270 Mount Vernon St.,,Dorchester,02125,(617) 288-7120,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-10-28,66,,,,,66,,,,,,true,,Very Low,2026-03-03,"270 Mount Vernon St., Dorchester, MA 02125",42.31973824683,-71.047389471033
P-247603,"Montas, Michel Marie",,15 Egret Way,,Mattapan,02126,(857) 397-5332,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2025-05-23,6,,,,,,,,,,,true,,Very Low,2026-03-03,"15 Egret Way, Mattapan, MA 02126",,
P-247635,Shaloh School,Shaloh School,29 Chestnut Hill Avenue,,Brighton,02135,(617) 787-2200,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-08-28,34,,,,,34,,,,,,true,,Moderate,2026-03-03,"29 Chestnut Hill Avenue, Brighton, MA 02135",42.348532605955,-71.153757381065
P-248044,"Sanchez, Elida",,31 Dell Avenue,,Hyde Park,02136,(857) 891-6722,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Inactive,2024-08-21,6,,,,,,,,,,,true,,Very Low,2026-03-03,"31 Dell Avenue, Hyde Park, MA 02136",42.260079246041,-71.12087432602
P-248087,YMCA @ The Manning School,YMCA of Greater Boston,130 Louders Lane,,Jamaica Plain,02130,(857) 276-5055,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-02-28,26,,,,,,,,,26,,true,,High,2026-03-03,"130 Louders Lane, Jamaica Plain, MA 02130",42.305920186081,-71.131972644092
P-248139,"Hernandez Vizcaino, Nercida Milagros",,8 Burnett Street #1,,Jamaica Plain,02130,(857) 204-4998,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2022-05-25,8,,,,,,,,,,,true,,Low,2026-03-03,"8 Burnett Street #1, Jamaica Plain, MA 02130",42.304736594144,-71.109545287994
P-248224,"Deschineau, Varda",,55 Safford Street,,Hyde Park,02136,(617) 851-5849,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2023-05-22,6,,,,,,,,,,,true,,Very Low,2026-03-03,"55 Safford Street, Hyde Park, MA 02136",42.26619211067,-71.115469642875
P-248287,"Cruz, Jenny",,90 Brookway Road Apt 472,,Roslindale,02131,(857) 615-9613,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Inactive,2021-01-07,5,,,,,,,,,,,true,,Very Low,2026-03-03,"90 Brookway Road Apt 472, Roslindale, MA 02131",42.293264999557,-71.119188829736
P-248499,Mather BS & AS Prg.,Boston Public Schools,24 Parish Street,,Dorchester,02122,(617) 635-8757,Metro Boston,Region 6,Public School,Funded,,Current,,2021-10-22,70,,,,,10,,,,60,,true,,,2026-03-03,"24 Parish Street, Dorchester, MA 02122",42.308031372165,-71.062318928767
P-248502,Boston Renaissance Charter,Boston Renaissance Charter School,1415 Hyde Park Avenue,,Hyde Park,02136,(617) 357-0900,Metro Boston,Region 6,Public School,Funded,,Current,,2020-07-22,145,,,,,,,,,145,,true,,,2026-03-03,"1415 Hyde Park Avenue, Hyde Park, MA 02136",42.250383839429,-71.126143805741
P-248687,East Boston Central Catholic /AS/K/PS,Archdiocese of Boston Schools,69 London Street,,East Boston,02128,(617) 567-7456,Metro Boston,Region 6,Private School,Funded,,Current,,2019-12-24,182,,,,,38,,24,,160,,true,,Very Low,2026-03-03,"69 London Street, East Boston, MA 02128",42.372348523153,-71.039846741897
