PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude,SERVES_PREK,SERVES_ELEM,SERVES_MIDDLE,QUALITY_LICENSED,QUALITY_VOUCHER,QUALITY_C3,BAND_LABEL,CAP_CAT
P-183300,Harbor City School,Harbor City School,196 PUTNAM ST,,East Boston,02128-1485,(617) 418-5146,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2011-09-02,40,,,,,40.0,,,,,,True,,Very Low,2026-03-03,"196 PUTNAM ST, East Boston, MA 02128-1485",42.376737226864,-71.029985804649,True,False,False,True,True,False,Pre-K only,M
P-183524,Little Voices Early Care and Education @ the Community Center,"Little Voices Early and Education, Inc",1179 RIVER ST,,Hyde Park,02136-2962,(617) 361-5555,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2011-10-25,86,,,,,60.0,,,,26.0,,True,,Very Low,2026-03-03,"1179 RIVER ST, Hyde Park, MA 02136-2962",42.256801809891,-71.120366792623,True,True,True,True,True,False,Elementary and Middle,L
P-183564,The Torit School,The Torit School,300 Cambridge Street,,Boston,02114,(857) 350-4840,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2011-09-02,71,12.0,,19.0,,40.0,,,,,,True,,High,2026-03-03,"300 Cambridge Street, Boston, MA 02114",42.361032291637,-71.068393631509,True,False,False,False,True,False,Pre-K only,M
P-184036,Little Panda Early Learning and Care Center,Little Panda Early Learning and Care Center,285 TREMONT STREET,,Boston,02116,(617) 423-0500,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2012-05-10,52,7.0,7.0,9.0,9.0,20.0,,,,,,True,,Low,2026-03-03,"285 TREMONT STREET, Boston, MA 02116",42.349332400798,-71.06546847448,True,False,False,True,True,False,Pre-K only,M
P-184047,CCLC at School Street,"KinderCare Education, LLC",44 SCHOOL STREET,,Boston,02108,(617) 227-0554,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2012-01-13,38,7.0,,18.0,,13.0,,,,,,True,,Moderate,2026-03-03,"44 SCHOOL STREET, Boston, MA 02108",42.357762486394,-71.059495524364,True,False,False,False,True,False,Pre-K only,S
P-184057,Sunkissed Acorns,Sunkissed Acorns,342 TREMONT STREET,,Boston,02116,(617) 338-2127,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2012-06-06,32,14.0,,9.0,9.0,,,,,,,True,,Low,2026-03-03,"342 TREMONT STREET, Boston, MA 02116",42.348674686119,-71.066420130726,True,False,False,False,True,False,Pre-K only,S
P-184274,Tarttâs Day Care Center and Private Kindergarten II,Tartt's Day Care Center & Private Kindergarten Inc.,495 Harrison Avenue,,Boston,02118,(617) 426-4300,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2012-04-05,41,,,31.0,,10.0,,,,,,False,,Low,2026-03-03,"495 Harrison Avenue, Boston, MA 02118",42.341723626666,-71.066722508542,True,False,False,False,False,False,Pre-K only,M
P-184277,Arcadia Learning Academy,Arcadia Learning Academy,600 Columbia Road,,Dorchester,02125,(617) 825-7500,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2012-06-12,41,7.0,17.0,7.0,,10.0,,,,,,True,,Very Low,2026-03-03,"600 Columbia Road, Dorchester, MA 02125",42.317355386561,-71.064795788586,True,False,False,True,True,False,Pre-K only,M
P-184506,Kwong Kow Chinese School,Kwong Kow Chinese School,87 TYLER STREET,,Boston,02111,(617) 426-6716,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2015-06-24,130,,,,,,,,,130.0,,True,,Low,2026-03-03,"87 TYLER STREET, Boston, MA 02111",42.348897707008,-71.061540123253,False,True,True,True,True,False,Elementary and Middle,L
P-184523,Pine Village PreSchool,Pine Village Preschool - Current,57 SOUTH STREET,,Jamaica Plain,02130,(857) 203-9655,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2012-09-10,67,,,18.0,9.0,40.0,,,,,,True,,High,2026-03-03,"57 SOUTH STREET, Jamaica Plain, MA 02130",42.30790185123,-71.115597716343,True,False,False,False,True,False,Pre-K only,M
P-184527,Pathways to Nature Preschool,"Massachusetts Audubon Society, Inc.",450 B/C Walkhill St,,Mattapan,02126,(617) 983-8500,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2013-01-08,39,,,,,39.0,,,,,,True,,Very Low,2026-03-03,"450 B/C Walkhill St, Mattapan, MA 02126",42.285843340535,-71.104194927348,True,False,False,True,True,False,Pre-K only,S
P-184542,Little Sprouts So. End,"Little Sprouts, LLC",160 East Berkeley Street,,Boston,02118,(857) 263-7946,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2012-10-17,45,7.0,9.0,9.0,,20.0,,,,,,True,,Low,2026-03-03,"160 East Berkeley Street, Boston, MA 02118",42.343684320996,-71.064799244163,True,False,False,False,True,False,Pre-K only,M
P-184549,Little Sprouts LLC,"Little Sprouts, LLC",815 ALBANY STREET,,Boston,02119,(617) 708-1714,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2012-12-04,70,14.0,9.0,18.0,9.0,20.0,,,,,,True,,Very Low,2026-03-03,"815 ALBANY STREET, Boston, MA 02119",42.332218128633,-71.075391984035,True,False,False,False,True,False,Pre-K only,M
P-184754,Our Future Learning Center Brighton,"FTCC Allston, LLC",320 WASHINGTON STREET,,Brighton,02135,(508) 552-3259,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2013-04-26,76,14.0,9.0,18.0,,35.0,,,,,,True,,Moderate,2026-03-03,"320 WASHINGTON STREET, Brighton, MA 02135",42.34897723309,-71.151826986415,True,False,False,True,True,False,Pre-K only,M
P-184765,Our Future Learning Center Allston,"FTCC Allston, LLC",20 Linden Street,,Allston,02134,(508) 552-3249,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2013-04-24,115,14.0,27.0,18.0,,56.0,,,,,,True,,Low,2026-03-03,"20 Linden Street, Allston, MA 02134",42.355076889524,-71.130616801525,True,False,False,False,True,False,Pre-K only,L
P-185062,YMCA of Greater Boston at Washington Beech,YMCA of Greater Boston,4560 WASHINGTON STREET,,Roslindale,02131,(857) 208-6356,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2013-09-25,38,,,,,,,,,38.0,,True,,Very Low,2026-03-03,"4560 WASHINGTON STREET, Roslindale, MA 02131",42.277744154205,-71.137560586269,False,True,True,False,True,False,Elementary and Middle,S
P-185280,Bright Horizons at Fan Pier,"Bright Horizons Childrenâs Centers, LLC",19 Bond Drive,,Boston,02210,(617) 737-1296,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2014-06-30,142,28.0,,54.0,,40.0,,,,20.0,,True,,Very High,2026-03-03,"19 Bond Drive, Boston, MA 02210",42.353897530922,-71.046216076378,True,True,True,True,True,False,Elementary and Middle,L
P-185540,YMCA of Greater Boston at the Mozart Elementary School,YMCA of Greater Boston,236 BEECH ST.,,Roslindale,02131,(857) 208-6356,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2014-09-08,78,,,,,,,,,78.0,,True,,High,2026-03-03,"236 BEECH ST., Roslindale, MA 02131",42.281267272367,-71.141483569818,False,True,True,True,True,False,Elementary and Middle,M
P-185561,Bright Horizons at Charlestown,"Bright Horizons Childrenâs Centers, LLC",55  Constitution Road,,Charlestown,02129,(617) 241-2888,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2015-03-20,122,28.0,9.0,36.0,9.0,40.0,,,,,,True,,High,2026-03-03,"55  Constitution Road, Charlestown, MA 02129",42.371900388267,-71.059539752501,True,False,False,True,True,False,Pre-K only,L
P-185844,"Ijaabo Children's Learning Center, Inc.","Ijaabo, Inc.",1424 TREMONT STREET #2,,Roxbury,02120,(617) 652-7636,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2015-09-01,49,7.0,6.0,17.0,9.0,10.0,,,,,,True,,Low,2026-03-03,"1424 TREMONT STREET #2, Roxbury, MA 02120",42.331597766595,-71.096232598,True,False,False,True,True,False,Pre-K only,M
P-185851,The Learning Tree Preschool Inc.,"The Learning Tree Preschool,  Inc.",1858 Center Street,,West Roxbury,02132,(617) 942-8485,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2017-06-12,44,,,9.0,17.0,18.0,,,,,,True,,High,2026-03-03,"1858 Center Street, West Roxbury, MA 02132",42.286212581925,-71.154575104979,True,False,False,True,True,False,Pre-K only,M
P-187069,YMCA of Greater Boston at Parkway Community YMCA,YMCA of Greater Boston,1972 Centre Street,,West Roxbury,02132,(617) 981-2351,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2016-11-30,150,,,,,,,,,150.0,,True,,High,2026-03-03,"1972 Centre Street, West Roxbury, MA 02132",42.282935403453,-71.157199141351,False,True,True,False,True,False,Elementary and Middle,XL
P-187089,Bright Horizons at Dartmouth Street,"Bright Horizons Childrenâs Centers, LLC",441 Stuart Street,,Boston,02116,(617) 603-2570,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2016-10-31,51,7.0,,9.0,,15.0,,,,20.0,,False,,High,2026-03-03,"441 Stuart Street, Boston, MA 02116",42.348513234473,-71.075833183812,True,True,True,True,False,False,Elementary and Middle,M
P-187092,YMCA of Greater Boston @ Mattahunt Elementary School,YMCA of Greater Boston,100 Hebron Street,,Mattapan,02126,(857) 408-0162,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2025-10-10,26,,,,,,,,,26.0,,True,,Very Low,2026-03-03,"100 Hebron Street, Mattapan, MA 02126",42.274565940901,-71.105695507223,False,True,True,True,True,False,Elementary and Middle,S
P-187185,ABCD Allston Brighton Headstart,"Action For Boston Community Development, Inc./ABCD",41 Quint Avenue,,Allston,02134,(617) 903-3494,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2016-11-08,39,,,,,39.0,,,,,,True,,Low,2026-03-03,"41 Quint Avenue, Allston, MA 02134",42.35165185773,-71.134070164096,True,False,False,True,True,False,Pre-K only,S
P-187303,Idiil Learning Center-Boston,Idiil Learning Center,366 Tremont Street,,Boston,02111,(617) 501-0739,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-04-29,35,,,,,,,,,35.0,,True,,Low,2026-03-03,"366 Tremont Street, Boston, MA 02111",42.348578558913,-71.066830078308,False,True,True,True,True,False,Elementary and Middle,S
P-187395,Little Panda Early Learning and Care Center,Little Panda Early Learning and Care Center,1313 Washington Street Unit 107,,Boston,02118,(857) 250-4080,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2017-08-24,34,7.0,9.0,,9.0,9.0,,,,,,False,,Very High,2026-03-03,"1313 Washington Street Unit 107, Boston, MA 02118",42.341851513219,-71.068479634743,True,False,False,False,False,False,Pre-K only,S
P-187523,Little Scholars Learning Academy,Little Scholars Learning Academy,438 River Street,,Mattapan,02126,(617) 322-1115,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2017-07-07,69,14.0,9.0,9.0,17.0,8.0,12.0,,,,,True,,Very Low,2026-03-03,"438 River Street, Mattapan, MA 02126",42.269018020388,-71.091598755707,True,True,False,True,True,False,Pre-K and Elementary,M
P-187594,Bridge to Nature,"Massachusetts Audubon Society, Inc.",500 Walk Hill Street,,Mattapan,02126,(617) 983-8500,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2017-09-05,37,,,,,37.0,,,,,,True,,Very Low,2026-03-03,"500 Walk Hill Street, Mattapan, MA 02126",42.282341574181,-71.099521445457,True,False,False,True,True,False,Pre-K only,S
P-187600,Sunrise Learning Academy 3,Sunrise Learning Academy LLC,25 Channel Center Street,,Boston,02210,(617) 951-3967,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2017-05-31,77,21.0,18.0,18.0,,20.0,,,,,,True,,Very High,2026-03-03,"25 Channel Center Street, Boston, MA 02210",42.346317015418,-71.050841473936,True,False,False,False,True,False,Pre-K only,M
P-187612,Stony Brook School,Stony Brook School,21-D 35K Bismarck Street,,Jamaica Plain,02130,(617) 990-6453,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2017-09-13,36,,,,,36.0,,,,,,True,,Moderate,2026-03-03,"21-D 35K Bismarck Street, Jamaica Plain, MA 02130",42.315193004303,-71.102556607525,True,False,False,True,True,False,Pre-K only,S
P-187660,RTH Early Education Center,YMCA of Greater Boston,82 Fenwood Road,,Roxbury,02115,(857) 928-5580,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2017-07-11,90,14.0,9.0,18.0,9.0,40.0,,,,,,True,,Very Low,2026-03-03,"82 Fenwood Road, Roxbury, MA 02115",42.335856449948,-71.108919298295,True,False,False,True,True,False,Pre-K only,L
P-187728,YMCA of Greater Boston @ John F. Kennedy Elementary School,YMCA of Greater Boston,7 Bolster Street,,Jamaica Plain,02130,(857) 972-2896,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2017-10-10,49,,,,,10.0,,,,39.0,,True,,Low,2026-03-03,"7 Bolster Street, Jamaica Plain, MA 02130",42.321896862204,-71.106202811315,True,True,True,False,True,False,Elementary and Middle,M
P-187730,YMCA of Greater Boston @ Conservatory Lab,YMCA of Greater Boston,133 Hancock Street,,Dorchester,02125,(781) 223-4367,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-08-12,49,,,,,10.0,,,,39.0,,True,,Very Low,2026-03-03,"133 Hancock Street, Dorchester, MA 02125",42.311576730899,-71.063126913342,True,True,True,True,True,False,Elementary and Middle,M
P-187801,Boston Rainbow Bridge Child Care,Boston Rainbow Bridge Child Care,15 North Beacon Street,Suite NR-2,Allston,02134,(612) 396-2958,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2017-11-03,69,,8.0,18.0,,43.0,,,,,,True,,Low,2026-03-03,"15 North Beacon Street, Allston, MA 02134",42.353782681634,-71.13848797908,True,False,False,True,True,False,Pre-K only,M
P-209951,Epiphany School Early Learning Center,Epiphany School Early Learning Center,230 Centre Street,,Dorchester,02124,(617) 545-8200,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-09-04,72,14.0,9.0,9.0,,40.0,,,,,,True,,Low,2026-03-03,"230 Centre Street, Dorchester, MA 02124",42.293365746253,-71.06335798776,True,False,False,True,True,False,Pre-K only,M
P-209975,Ethos,"Nido South Boston, LLC",416 West Broadway,,South Boston,02127,(617) 315-7166,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-04-12,68,21.0,,27.0,,20.0,,,,,,True,,Very High,2026-03-03,"416 West Broadway, South Boston, MA 02127",42.336815624489,-71.047649532251,True,False,False,True,True,False,Pre-K only,M
P-210484,Thrive Childcare Center LLC,"Thrive Childcare Center, LLC",465 Columbus Avenue,,Boston,02116,(857) 277-1251,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-06-11,43,14.0,9.0,,9.0,11.0,,,,,,True,,Moderate,2026-03-03,"465 Columbus Avenue, Boston, MA 02116",42.343479926767,-71.078337256128,True,False,False,True,True,False,Pre-K only,M
P-210715,Small World Child Care Center Too,"Jamaica Plain VAMC Child Care Center, Inc.",1400 VFW Parkway,,West Roxbury,02132,(857) 203-5650,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-03-07,24,7.0,,9.0,,8.0,,,,,,True,,Moderate,2026-03-03,"1400 VFW Parkway, West Roxbury, MA 02132",42.272161002457,-71.17299907012,True,False,False,True,True,False,Pre-K only,S
P-210831,Choices After School Program,Choices After School Program,112 Paris Street,,East Boston,02128,(617) 635-5125,Metro Boston,Region 6,Center-based Care,Licensed,Expired,,,2025-08-28,35,,,,,,,,,35.0,,True,,,2026-03-03,"112 Paris Street, East Boston, MA 02128",42.37285601485,-71.037221053361,False,True,True,False,True,False,Elementary and Middle,S
P-210933,Tiny Hands Enrichment Center,Tiny Hands Enrichment Center,14 Cushing Avenue,,Dorchester,02125,(617) 436-2390,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-11-09,45,7.0,9.0,9.0,,20.0,,,,,,True,,Low,2026-03-03,"14 Cushing Avenue, Dorchester, MA 02125",42.31622620764,-71.064564213378,True,False,False,True,True,False,Pre-K only,M
P-211256,Allo Montessori Preschool,Urban Montessori Academy,197 8th Street Suite 600,,Charlestown,02129,(617) 671-9048,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-10-12,58,,,18.0,,40.0,,,,,,True,,Moderate,2026-03-03,"197 8th Street Suite 600, Charlestown, MA 02129",42.373737859018,-71.051668824119,True,False,False,True,True,False,Pre-K only,M
P-242561,YMCA of Greater Boston at the Henry Grew School,YMCA of Greater Boston,40 Gordon Avenue,,Hyde Park,02136,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-11-01,62,,,,,10.0,,,,52.0,,True,,Low,2026-03-03,"40 Gordon Avenue, Hyde Park, MA 02136",42.257135331352,-71.126897634372,True,True,True,True,True,False,Elementary and Middle,M
P-242974,"Little Voices Early Care and Education, Inc. @ Channing","Little Voices Early and Education, Inc",35 Sunnyside Street,,Hyde Park,02136,(617) 953-8029,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-11-13,52,,,,,,13.0,,,39.0,,True,,Low,2026-03-03,"35 Sunnyside Street, Hyde Park, MA 02136",42.251269938915,-71.133163638721,True,True,True,True,True,False,Elementary and Middle,M
P-242994,IBA Early Education Program,Inquilinos Boricuas En Accion/E.T.C.,100 West Dedham St,,Boston,02118,(617) 927-1740,Northeast,Region 6,Center-based Care,Licensed,Current,,,2018-11-23,77,,18.0,9.0,,50.0,,,,,,True,,Low,2026-03-03,"100 West Dedham St, Boston, MA 02118",42.341828661602,-71.072812048794,True,False,False,True,True,False,Pre-K only,M
P-243020,Our Future Learning Center,"FTCC Allston, LLC",1845 Commonwealth Avenue,,Brighton,02135,(617) 903-3522,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-02-04,61,14.0,,27.0,,20.0,,,,,,True,,Moderate,2026-03-03,"1845 Commonwealth Avenue, Brighton, MA 02135",42.339099323209,-71.152570789832,True,False,False,True,True,False,Pre-K only,M
P-243061,Adventures In Montessori Early Childhood Center,Adventures In Montessori Early Childhood Center,65 Rockwood Street,,Jamaica Plain,02130,(857) 273-3453,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-05-01,51,14.0,,17.0,,20.0,,,,,,False,,High,2026-03-03,"65 Rockwood Street, Jamaica Plain, MA 02130",42.313058500557,-71.128025581699,True,False,False,True,False,False,Pre-K only,M
P-243320,Savin Street Headstart & Children's Service,"Action For Boston Community Development, Inc./ABCD",82 Savin Street,,Roxbury,02119,(617) 652-7144,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2018-12-26,64,,24.0,,,40.0,,,,,,True,,Very Low,2026-03-03,"82 Savin Street, Roxbury, MA 02119",42.315593203504,-71.079061894425,True,False,False,True,True,False,Pre-K only,M
P-244271,The Treehouse School of Charles,The Treehouse School of Charles,142 Bunker Hill Street,,Charlestown,02129,(617) 633-9163,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-07-22,29,,,9.0,,20.0,,,,,,False,,High,2026-03-03,"142 Bunker Hill Street, Charlestown, MA 02129",42.378058229252,-71.060080160839,True,False,False,True,False,False,Pre-K only,S
P-244570,Seaport Kindercare,"KinderCare Education, LLC",130 Autumn Lane,,Boston,02210,(617) 345-5453,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2019-06-13,93,28.0,,18.0,27.0,20.0,,,,,,True,,High,2026-03-03,"130 Autumn Lane, Boston, MA 02210",42.350824515931,-71.045543504705,True,False,False,False,True,False,Pre-K only,L
P-244964,Funtime Academy,Funtime Academy,136 Seaver Street,,Dorchester,02121,(617) 407-2232,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-01-29,20,,,,,,,,,20.0,,True,,Very Low,2026-03-03,"136 Seaver Street, Dorchester, MA 02121",42.309275006301,-71.091097116332,False,True,True,False,True,False,Elementary and Middle,S
P-246740,Future Leader's,Future Leader's,1664 Dorchester Ave,,Dorchester,02122,617-288-1119,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-11-07,26,,7.0,9.0,,10.0,,,,,,True,,Low,2026-03-03,"1664 Dorchester Ave, Dorchester, MA 02122",42.293542093178,-71.062048405914,True,False,False,True,True,False,Pre-K only,S
P-247447,Boys & Girls Clubs of Dorchesterâs  Early Learning Center at Harbor Point,Boys and Girls Club of Dorchester Inc,270 Mount Vernon St.,,Dorchester,02125,(617) 288-7120,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-10-28,66,,,,,66.0,,,,,,True,,Very Low,2026-03-03,"270 Mount Vernon St., Dorchester, MA 02125",42.31973824683,-71.047389471033,True,False,False,True,True,False,Pre-K only,M
P-247635,Shaloh School,Shaloh School,29 Chestnut Hill Avenue,,Brighton,02135,(617) 787-2200,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-08-28,34,,,,,34.0,,,,,,True,,Moderate,2026-03-03,"29 Chestnut Hill Avenue, Brighton, MA 02135",42.348532605955,-71.153757381065,True,False,False,True,True,False,Pre-K only,S
P-248087,YMCA @ The Manning School,YMCA of Greater Boston,130 Louders Lane,,Jamaica Plain,02130,(857) 276-5055,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-02-28,26,,,,,,,,,26.0,,True,,High,2026-03-03,"130 Louders Lane, Jamaica Plain, MA 02130",42.305920186081,-71.131972644092,False,True,True,True,True,False,Elementary and Middle,S
P-248499,Mather BS & AS Prg.,Boston Public Schools,24 Parish Street,,Dorchester,02122,(617) 635-8757,Metro Boston,Region 6,Public School,Funded,,Current,,2021-10-22,70,,,,,10.0,,,,60.0,,True,,,2026-03-03,"24 Parish Street, Dorchester, MA 02122",42.308031372165,-71.062318928767,True,True,True,False,True,False,Elementary and Middle,M
P-248502,Boston Renaissance Charter,Boston Renaissance Charter School,1415 Hyde Park Avenue,,Hyde Park,02136,(617) 357-0900,Metro Boston,Region 6,Public School,Funded,,Current,,2020-07-22,145,,,,,,,,,145.0,,True,,,2026-03-03,"1415 Hyde Park Avenue, Hyde Park, MA 02136",42.250383839429,-71.126143805741,False,True,True,False,True,False,Elementary and Middle,L
P-248687,East Boston Central Catholic /AS/K/PS,Archdiocese of Boston Schools,69 London Street,,East Boston,02128,(617) 567-7456,Metro Boston,Region 6,Private School,Funded,,Current,,2019-12-24,182,,,,,38.0,,24.0,,160.0,,True,,Very Low,2026-03-03,"69 London Street, East Boston, MA 02128",42.372348523153,-71.039846741897,True,True,True,False,True,False,Elementary and Middle,XL
P-248689,Saint John Paul II Catholic Academy @ Columbia,Archdiocese of Boston Schools,790 Columbia Road,,Dorchester,02125,(617) 265-0019,Metro Boston,Region 6,Private School,Funded,,Current,,2020-08-26,141,,,,,60.0,,26.0,,55.0,,True,,Low,2026-03-03,"790 Columbia Road, Dorchester, MA 02125",42.320193220368,-71.058275531148,True,True,True,False,True,False,Elementary and Middle,L
P-248697,St. Columbkille Partnership School,Archdiocese of Boston Schools,25 Arlington Street,,Brighton,02135,(617) 254-3110,Metro Boston,Region 6,Private School,Funded,,Current,,2020-07-17,298,,,,,51.0,,29.0,,218.0,,True,,Low,2026-03-03,"25 Arlington Street, Brighton, MA 02135",42.35217598491,-71.153465341752,True,True,True,False,True,False,Elementary and Middle,XL
P-249763,St.Theresa School,Archdiocese of Boston Schools,40 Saint Theresa Avenue,,West Roxbury,02132,(617) 323-1050,Metro Boston,Region 6,Private School,Funded,,Current,,2019-12-24,140,,,,,140.0,,,,,,True,,High,2026-03-03,"40 Saint Theresa Avenue, West Roxbury, MA 02132",42.277798775103,-71.157913508173,True,False,False,False,True,False,Pre-K only,L
P-249767,South Boston Catholic Academy,Archdiocese of Boston Schools,866 East Broadway,,South Boston,02127,(781) 401-0689,Metro Boston,Region 6,Private School,Funded,,Funding Renewal In Progress,,2019-12-24,232,,,,,85.0,,40.0,,100.0,,True,,Very High,2026-03-03,"866 East Broadway, South Boston, MA 02127",42.335786253494,-71.029311742888,True,True,True,False,True,False,Elementary and Middle,XL
P-249768,Sacred Heart School,Archdiocese of Boston Schools,1035 Canterbury Street,,Roslindale,02131,(617) 323-2500,Metro Boston,Region 6,Private School,Funded,,Funding Renewal In Progress,,2020-01-30,112,,,,,43.0,,16.0,,53.0,,True,,Moderate,2026-03-03,"1035 Canterbury Street, Roslindale, MA 02131",42.278375088114,-71.121374157364,True,True,True,False,True,False,Elementary and Middle,L
P-250135,Stone House Early Learning Center,Stone House Inc.,1 Westminster Ave,,Roxbury,02119,(781) 400-0755,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-07-07,43,14.0,9.0,,9.0,11.0,,,,,,True,,Very Low,2026-03-03,"1 Westminster Ave, Roxbury, MA 02119",42.316949574744,-71.097062159418,True,False,False,True,True,False,Pre-K only,M
P-250728,St John School,Archdiocese of Boston Schools,9 Moon Street,,Boston,02113,(617) 227-3143,Metro Boston,Region 6,Private School,Funded,,Current,,2022-06-23,79,,,,,79.0,,,,,,True,,High,2026-03-03,"9 Moon Street, Boston, MA 02113",42.364086227907,-71.0527032726,True,False,False,False,True,False,Pre-K only,M
P-252621,Above & Beyond SACC @ Hansborough Street,Brookview House,35 Hansborough Street,,Dorchester,02124,(617) 265-2965,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-06-28,30,,,,,,,,,30.0,,True,,Very Low,2026-03-03,"35 Hansborough Street, Dorchester, MA 02124",42.288107531058,-71.09114673447,False,True,True,False,True,False,Elementary and Middle,S
P-252725,Boston's Bridge to Excellence @ Blackstone Elementary School,Boston's Bridge to Excellence Inc.,380 Shawmut Avenue,,Boston,02118,(857) 212-6238,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-10-06,72,,,,,20.0,,,,52.0,,True,,Low,2026-03-03,"380 Shawmut Avenue, Boston, MA 02118",42.341202455857,-71.072083648901,True,True,True,False,True,False,Elementary and Middle,M
P-253475,Kiddies Corner,Kiddies Corner,858 Morton Street,,Mattapan,02126,(617) 514-3581,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-11-03,21,5.0,7.0,,,,9.0,,,,,True,,Very Low,2026-03-03,"858 Morton Street, Mattapan, MA 02126",42.281207881076,-71.085878981401,True,True,False,False,True,False,Pre-K and Elementary,S
P-253690,Blooming Stars Education Center,Blooming Stars Education Center,470 Washington Street,,Brighton,02135,(857) 540-1392,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-08-26,62,7.0,,16.0,9.0,30.0,,,,,,False,,Moderate,2026-03-03,"470 Washington Street, Brighton, MA 02135",42.348854111022,-71.159228199631,True,False,False,True,False,False,Pre-K only,M
